,error,slope,name
0,0.02503657595326749,0.0012211546012683005,"01(1_0_0, 2_0_0)"
1,0.008922295958746305,0.0008665686101659657,"01(1_0_0, 3_0_0)"
2,0.02303882795052442,0.0010708209144503278,"01(1_0_0, 4_0_0)"
3,0.017629950868689705,0.0012334426668143847,"01(1_0_0, 5_0_0)"
4,0.04619683600522086,0.0007275471037156338,"01(2_0_0, 3_0_0)"
5,0.076473405589246,0.0004081516937240571,"01(2_0_0, 4_0_0)"
6,0.061604413927052785,1.7231041957482564e-05,"01(2_0_0, 5_0_0)"
7,0.05074383933893939,0.00013977990100736,"01(3_0_0, 4_0_0)"
8,0.04296658626739357,0.0004228668842011557,"01(3_0_0, 5_0_0)"
9,0.0505505968866182,0.00025858462048337585,"01(4_0_0, 5_0_0)"
10,0.012798387985017194,0.0016800373886552181,"02(1_0_0, 2_0_0)"
11,0.013593152922447328,0.0015464884496407827,"02(1_0_0, 3_0_0)"
12,0.004633452990072719,0.0012399276731490721,"02(1_0_0, 4_0_0)"
13,0.009408594158338342,0.0013293016136178898,"02(1_0_0, 5_0_0)"
14,0.06972933182067236,9.696318704105818e-05,"02(2_0_0, 3_0_0)"
15,0.03132946389040822,0.0008309786137671479,"02(2_0_0, 4_0_0)"
16,0.040355554322267895,0.00045731806529576214,"02(2_0_0, 5_0_0)"
17,0.04307857660439259,0.00036337607326744956,"02(3_0_0, 4_0_0)"
18,0.04223436974156182,0.0003996913093671785,"02(3_0_0, 5_0_0)"
19,0.013248452507937172,0.0012097280739990024,"02(4_0_0, 5_0_0)"
20,0.0204743958739928,0.0013140595228875024,"03(1_0_0, 2_0_0)"
21,0.029434151892383353,0.000782516298308411,"03(1_0_0, 3_0_0)"
22,0.01506600080902737,0.0011271230498353076,"03(1_0_0, 4_0_0)"
23,0.013698089251967343,0.0011255416294686878,"03(1_0_0, 5_0_0)"
24,0.04600010051237078,0.0005870065587886168,"03(2_0_0, 3_0_0)"
25,0.02267238619675002,0.000988599541752476,"03(2_0_0, 4_0_0)"
26,0.03372410719322279,0.0006626768055071573,"03(2_0_0, 5_0_0)"
27,0.031025672569280488,0.0004621368107400662,"03(3_0_0, 4_0_0)"
28,0.026510263407542704,0.0010164573487258057,"03(3_0_0, 5_0_0)"
29,0.029519357367047163,0.0006092618951615289,"03(4_0_0, 5_0_0)"
30,0.01508261797499748,0.000926331306235249,"04(1_0_0, 2_0_0)"
31,0.014127921037206151,0.0013255495290990164,"04(1_0_0, 3_0_0)"
32,0.07491857211288792,0.00014437920575983843,"04(1_0_0, 4_0_0)"
33,0.02503802991055457,0.0009144052606538786,"04(1_0_0, 5_0_0)"
34,0.0434402622876122,0.0005399463546247974,"04(2_0_0, 3_0_0)"
35,0.007315674819366498,0.0011342079301691077,"04(2_0_0, 4_0_0)"
36,0.03134576838636069,0.000618568520862874,"04(2_0_0, 5_0_0)"
37,0.016889112321070453,0.0011854017885118344,"04(3_0_0, 4_0_0)"
38,0.05348264846304659,4.426187719761868e-06,"04(3_0_0, 5_0_0)"
39,0.060710734399703384,0.0003445637476284097,"04(4_0_0, 5_0_0)"
40,0.06327538322281188,0.00016291342772211463,"05(1_0_0, 2_0_0)"
41,0.04565018165155925,0.000361354455724104,"05(1_0_0, 3_0_0)"
42,0.033176540853523506,0.0011227852609050147,"05(1_0_0, 4_0_0)"
43,0.02610599473026501,0.0008237320397760776,"05(1_0_0, 5_0_0)"
44,0.053028609615420275,0.00042168789608633015,"05(2_0_0, 3_0_0)"
45,0.026652070822410636,0.0007418178761650524,"05(2_0_0, 4_0_0)"
46,0.012880070179293704,0.0008671001861633806,"05(2_0_0, 5_0_0)"
47,0.03452434994759809,0.0007065285370772741,"05(3_0_0, 4_0_0)"
48,0.03698518885990792,2.241734184062601e-05,"05(3_0_0, 5_0_0)"
49,0.03680193012248029,3.6778085304641585e-05,"05(4_0_0, 5_0_0)"
50,0.03306033420151973,0.0010674923496395837,"06(1_0_0, 2_0_0)"
51,0.02546907394101589,0.0008058876077745316,"06(1_0_0, 3_0_0)"
52,0.05529737256332212,0.0004978126821584545,"06(1_0_0, 4_0_0)"
53,0.03914504958454128,7.464859780064364e-05,"06(1_0_0, 5_0_0)"
54,0.06547620022584649,0.00022095318023842894,"06(2_0_0, 3_0_0)"
55,0.056521896746387856,0.0007799762386229039,"06(2_0_0, 4_0_0)"
56,0.04460733865450718,7.045018321217664e-05,"06(2_0_0, 5_0_0)"
57,0.03905915410161642,0.0005421914012010527,"06(3_0_0, 4_0_0)"
58,0.032269158704858594,0.0002478626887793467,"06(3_0_0, 5_0_0)"
59,0.029233878895003482,0.0005380451466045579,"06(4_0_0, 5_0_0)"
60,0.011956481731326431,0.001001607718125111,"07(1_0_0, 2_0_0)"
61,0.02956942641064062,0.0006960702161304884,"07(1_0_0, 3_0_0)"
62,0.0290775662100949,0.0011295048741858799,"07(1_0_0, 4_0_0)"
63,0.03331432002353463,0.0010782644346757657,"07(1_0_0, 5_0_0)"
64,0.011671224527540373,0.000985785668640462,"07(2_0_0, 3_0_0)"
65,0.019347340913172965,0.0012356794068699752,"07(2_0_0, 4_0_0)"
66,0.048575618959636455,0.0008956679221072453,"07(2_0_0, 5_0_0)"
67,0.06385881378746987,0.0004258685433901646,"07(3_0_0, 4_0_0)"
68,0.06296127451054313,0.00036111501514526976,"07(3_0_0, 5_0_0)"
69,0.0655102308662742,0.00011206468138002874,"07(4_0_0, 5_0_0)"
70,0.017943063043100775,0.001570240943356205,"08(1_0_0, 2_0_0)"
71,0.013485515032762853,0.0009259619532289742,"08(1_0_0, 3_0_0)"
72,0.003994902009171556,0.0013558509503559647,"08(1_0_0, 4_0_0)"
73,0.012735594723494,0.0011800039893415455,"08(1_0_0, 5_0_0)"
74,0.03940063834693117,0.00029894584680133755,"08(2_0_0, 3_0_0)"
75,0.05903196221566057,0.00024005794671293925,"08(2_0_0, 4_0_0)"
76,0.03369604775378788,0.000697483317109366,"08(2_0_0, 5_0_0)"
77,0.024437306074770224,0.0007015865446377065,"08(3_0_0, 4_0_0)"
78,0.03212520510932636,0.0005636377727017408,"08(3_0_0, 5_0_0)"
79,0.018615795214273718,0.0015916515963800499,"08(4_0_0, 5_0_0)"
80,0.016975466052161076,0.0015759884416718583,"09(1_0_0, 2_0_0)"
81,0.013846299100934328,0.0016652593360877892,"09(1_0_0, 3_0_0)"
82,0.029286523412370806,0.0008607944377053104,"09(1_0_0, 4_0_0)"
